company_id,year,category,detail
ICICIPRULI,2015-03,OPM_CROSSCHECK_MISMATCH,source=1655.0,computed=95.20
ICICIPRULI,2016-03,OPM_CROSSCHECK_MISMATCH,source=1842.0,computed=91.17
ICICIPRULI,2016-03,ICR_DEBT_FREE,interest=0.0
ICICIPRULI,2017-03,OPM_CROSSCHECK_MISMATCH,source=1806.0,computed=95.22
ICICIPRULI,2018-03,OPM_CROSSCHECK_MISMATCH,source=1771.0,computed=95.44
ICICIPRULI,2019-03,OPM_CROSSCHECK_MISMATCH,source=541.0,computed=98.70
ICICIPRULI,2020-03,OPM_CROSSCHECK_MISMATCH,source=-319.0,computed=101.52
ICICIPRULI,2021-03,OPM_CROSSCHECK_MISMATCH,source=-390.0,computed=100.47
ICICIPRULI,2022-03,OPM_CROSSCHECK_MISMATCH,source=-2163.0,computed=103.40
ICICIPRULI,2023-03,OPM_CROSSCHECK_MISMATCH,source=-1757.0,computed=103.48
ICICIPRULI,2024-03,OPM_CROSSCHECK_MISMATCH,source=-1829.0,computed=102.03
INDIGO,2013-03,OPM_CROSSCHECK_MISMATCH,source=855.0,computed=90.71
INDIGO,2014-03,OPM_CROSSCHECK_MISMATCH,source=433.0,computed=96.11
INDIGO,2015-03,OPM_CROSSCHECK_MISMATCH,source=1904.0,computed=86.33
INDIGO,2016-03,OPM_CROSSCHECK_MISMATCH,source=3164.0,computed=80.40
INDIGO,2017-03,OPM_CROSSCHECK_MISMATCH,source=2219.0,computed=88.06
INDIGO,2018-03,OPM_CROSSCHECK_MISMATCH,source=3030.0,computed=86.84
INDIGO,2019-03,OPM_CROSSCHECK_MISMATCH,source=-151.0,computed=100.53
INDIGO,2020-03,OPM_CROSSCHECK_MISMATCH,source=4069.0,computed=88.62
INDIGO,2020-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
INDIGO,2020-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=5yr
INDIGO,2020-03,CAGR_DECLINE_TO_LOSS,field=eps,window=3yr
INDIGO,2020-03,CAGR_DECLINE_TO_LOSS,field=eps,window=5yr
INDIGO,2021-03,OPM_CROSSCHECK_MISMATCH,source=2.0,computed=99.98
INDIGO,2021-03,CAGR_DECLINE_TO_LOSS,field=net_profit,window=3yr
